_c0,_c1,Hormone
Addissons Disease,mayCauseUnderProductionOf,Pregnanetriolone
Addissons Disease,mayCauseUnderProductionOf,"11β,18,21-trihydroxy-5β-pregnan-3,20-dione"
Addissons Disease,mayCauseUnderProductionOf,20beta-hydroxycortisol
Addissons Disease,mayCauseUnderProductionOf,20alpha-Dihydrocortisone
Addissons Disease,mayCauseUnderProductionOf,Pregnenetriol
Addissons Disease,mayCauseUnderProductionOf,11-deoxycorticosterone
Addissons Disease,mayCauseUnderProductionOf,Oestradiol
Addissons Disease,mayCauseUnderProductionOf,18-oxocortisol
Addissons Disease,mayCauseUnderProductionOf,"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one"
Addissons Disease,mayCauseUnderProductionOf,Cortolic acid
Addissons Disease,mayCauseUnderProductionOf,Androstenedione
Addissons Disease,mayCauseUnderProductionOf,5alpha-Dihydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,5beta-Dihydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,Tetrahydrocorticosterone
Addissons Disease,mayCauseUnderProductionOf,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione"
Addissons Disease,mayCauseUnderProductionOf,Tetrahydroaldosterone
Addissons Disease,mayCauseUnderProductionOf,11beta-Hydroxyetiocholanolone
Addissons Disease,mayCauseUnderProductionOf,beta-cortolonic acid
Addissons Disease,mayCauseUnderProductionOf,Pregnanediol
Addissons Disease,mayCauseUnderProductionOf,"4-Pregnene-17alpha,20alpha-diol-3,11-dione"
Addissons Disease,mayCauseUnderProductionOf,"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione"
Addissons Disease,mayCauseUnderProductionOf,Isoprogesterone
Addissons Disease,mayCauseUnderProductionOf,Pregnenediol b
Addissons Disease,mayCauseUnderProductionOf,11-Deoxycortisol
Addissons Disease,mayCauseUnderProductionOf,18-hydroxycorticosterone
Addissons Disease,mayCauseUnderProductionOf,"11b,17a 21-Trihydroxy-5bPregnane 3,20-dione"
Addissons Disease,mayCauseUnderProductionOf,5beta-dihydrocortisol
Addissons Disease,mayCauseUnderProductionOf,Aldosterone 18-glucuronide
Addissons Disease,mayCauseUnderProductionOf,5alpha-Tetrahydrocortisol
